시도,시군구,허가구분,건축구분,주건축물수,부속건축물동수,주용도,기타용도,대지면적(_),건축면적(_),건폐율(%),연면적(_),용적률산전용면적(_),용적률(%),주용도(동),대표용도(동),세대수(동),호수(동),가구수(동),주구조(동),기타구조(동),지붕구조(동),건축면적(동)(_),연면적(동)(_),용적률산정용면적(동)(_),지하층수(동),지상층수(동),높이(m),승용승강기수(동),비상용승강기수(동),설계자상호명,허가_비허가
경상북도,군위군,신축신고,신축,1,1,동.식물관련시설,"축사,창고,퇴비사","1,751",570.8,32.6,570.8,570.8,32.6,동.식물관련시설,축사,0,0,0,강파이프구조,철근콘크리트구조,기타지붕,278.4,278.4,278.4,0,1,5.8,0,0,건축사사무소 대명원,허가
경기도,남양주시,신축허가,신축,2,0,공장,단독주택,"3,425",419.2,12.24,768,768,22.42,공장,기타공장,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,209.6,384,384,0,2,13.2,0,0,건축사사무소 원,허가
전라북도,군산시,증축신고,증축,1,0,단독주택,주택,205,108.23,52.795,180.22,180.22,87.912,단독주택,단독주택,0,0,1,경량철골구조,철근콘크리트구조,기타지붕,12.29,84.28,84.28,0,2,8.25,0,0,오건축사사무소,허가
대구광역시,달성군,증축허가,증축,14,2,동.식물관련시설,축사,"12,605.72","5,827.45",46.23,"5,827.45","5,827.45",46.23,동.식물관련시설,축사,0,0,0,강파이프구조,철근콘크리트구조,기타지붕,9,9,9,0,1,4.8,0,0,건축사 사무소 이건,허가
경기도,평택시,신축허가,신축,1,0,제2종근린생활시설,1종근린생활시설-사무소 소매점 일반음식점,733,494.03,67.4,494.03,494.03,67.4,제2종근린생활시설,일반음식점,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,494.03,494.03,494.03,0,1,8.1,0,0,안중 건축사사무소,허가
강원도,철원군,증축허가,증축,4,0,동.식물관련시설,축사,"7,499","4,205.45",56.08,"4,587.78","4,587.78",61.18,동.식물관련시설,축사,0,0,0,강파이프구조,강파이프구조,기타지붕,"1,521","1,521","1,521",0,1,0,0,0,(합)건축사사무소디자인그룹아키토피아,허가
강원도,춘천시,신축신고,신축,1,0,단독주택,단독주택,349,60.13,17.23,99.74,99.74,28.58,단독주택,단독주택,0,0,1,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,60.13,99.74,99.74,0,2,6.9,0,0,준 건축사사무소,허가
경기도,양평군,신축신고,신축,10,2,제2종근린생활시설,사무소,"4,057",612.4,15.0949,717.2,605.2,14.9174,제2종근린생활시설,사무소,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,61.24,60.52,60.52,0,1,4.3,0,0,진성건축사사무소,허가
광주광역시,동구,신축허가,신축,1,0,제2종근린생활시설,"휴게음식점,학원,사무소",307,176.68,57.5505,674.9,674.9,219.8371,제2종근린생활시설,사무소,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,176.68,674.9,674.9,0,5,18.2,1,0,주식회사 아이에스피건축사사무소,허가
경기도,이천시,신축허가,신축,1,0,제2종근린생활시설,제조업소,"1,449.30",372.27,25.69,499.54,499.54,34.47,제2종근린생활시설,제조업소,0,0,0,철근콘크리트구조,철골구조(경량형강스터드구조),(철근)콘크리트,372.27,499.54,499.54,0,2,8.8,0,0,건축사사무소 더웨이즈,허가
